word,hiragana,meaning,romaji,score,used,day
～に違いない,～にちがいない,～임에 틀림없다,ni_chigai_nai,60,true,DAY 010
～に決まっている,～にきまっている,～임이 분명하다,ni_kimatte_iru,60,true,DAY 011
～とは限らない,～とはかぎらない,～라고는 할 수 없다,to_wa_kagiranai,60,true,DAY 011
～わけにはいかない,～わけにはいかない,～할 수는 없다,wake_ni_wa_ikanai,60,true,DAY 012
～ものだ,～ものだ,～하는 법이다,mono_da,60,true,DAY 012
～ものではない,～ものではない,～해서는 안 된다,mono_dewa_nai,60,true,DAY 013
～ことだ,～ことだ,～하는 게 좋다,koto_da,60,true,DAY 013
～ことはない,～ことはない,～할 필요는 없다,koto_wa_nai,60,true,DAY 014
～だけでなく,～だけでなく,～뿐만 아니라,dake_de_naku,60,true,DAY 014
～ばかりでなく,～ばかりでなく,～뿐만 아니라,bakari_de_naku,60,true,DAY 015
～に加えて,～にくわえて,～에 더해,ni_kuwaete,60,true,DAY 015
～に比べて,～にくらべて,～에 비해,ni_kurabete,60,true,DAY 016
～に関して,～にかんして,～에 관해서,ni_kanshite,100,true,DAY 001
～を通して,～をとおして,～을 통해,wo_tooshite,100,true,DAY 001
～をめぐって,～をめぐって,～을 둘러싸고,wo_megutte,60,true,DAY 016
～に応じて,～におうじて,～에 따라,ni_oujite,60,true,DAY 017
～に従って,～にしたがって,～에 따라서,ni_shitagatte,60,true,DAY 017
～につれて,～につれて,～함에 따라,ni_tsurete,60,true,DAY 018
～とともに,～とともに,"～와 함께, ～함에 따라",to_tomoni,100,true,DAY 002
～一方で,～いっぽうで,～하는 한편으로,ippou_de,60,true,DAY 018
～うえで,～うえで,～한 후에,uede,100,true,DAY 002
～うえに,～うえに,～뿐만 아니라,ueni,100,true,DAY 003
～おそれがある,～おそれがある,～우려가 있다,osoregaaru,100,true,DAY 003
～かわりに,～かわりに,～대신에,kawarini,100,true,DAY 004
～くせに,～くせに,～주제에,kuseni,60,true,DAY 019
～ことから,～ことから,"～로 보아, ～로 미루어",kotokara,60,true,DAY 019
～際に,～さいに,～할 때,saini,60,true,DAY 020
～次第だ,～しだいだ,"～한 것이다, ～라는 말이다",shidaida,100,true,DAY 004
～次第で,～しだいで,～에 따라,shidaide,100,true,DAY 005
～末に,～すえに,～끝에,sueni,100,true,DAY 005
～ずに,～ずに,～하지 않고,zuni,60,true,DAY 020
～ずにはいられない,～ずにはいられない,～하지 않을 수 없다,zunihairarenai,60,true,DAY 020
～せいか,～せいか,～탓인지,seika,100,true,DAY 006
～だけあって,～だけあって,～답게,dakeatte,60,true,DAY 020
～だけに,～だけに,～인 만큼,dakeni,60,true,DAY 021
～だけでなく,～だけでなく,～뿐만 아니라,dakedenaku,60,true,DAY 021
～たところ,～たところ,～해 보니,tatokoro,60,true,DAY 022
～ついでに,～ついでに,～하는 김에,tsuideni,60,true,DAY 022
～ということだ,～ということだ,"～라는 뜻이다, ～라고 한다",toiukotoda,60,true,DAY 023
～というものだ,～というものだ,～라고 할 수 있다,toiumonoda,60,true,DAY 023
～といえる,～といえる,～라고 할 수 있다,toieru,100,true,DAY 006
～ないことには,～ないことには,～하지 않으면,naikotoniwa,100,true,DAY 007
～ないではいられない,～ないではいられない,～하지 않을 수 없다,naidehairarenai,60,true,DAY 024
～にあたって,～にあたって,～함에 있어,niatatte,100,true,DAY 007
～にわたって,～にわたって,～에 걸쳐,niwatatte,60,true,DAY 024
～にわたり,～にわたり,～에 걸쳐,niwatari,100,true,DAY 008
～に関わる,～にかかわる,～에 관계되다,nikakawaru,100,true,DAY 008
～に基づいて,～にもとづいて,～에 근거하여,nimotozuite,60,true,DAY 025
～に応えて,～にこたえて,～에 부응하여,nikotaete,60,true,DAY 025
